"date","users","newUsers","sessions","bounces","sessionDuration","pageviews","avgTimeOnPage","userGender","bouncesHigh"
20140521,12,11,13,10,425,18,85.2,"female",">=10 bounces"
20140521,13,10,14,10,703,26,58.5,"male",">=10 bounces"
20140526,12,10,15,10,2596,36,123.619047619048,"male",">=10 bounces"
20140527,14,11,21,8,5605,82,91.9016393442623,"male","<10 bounces"
20140528,16,14,18,10,3529,52,103.823529411765,"male",">=10 bounces"
20140530,12,10,12,7,2364,46,69.5294117647059,"male","<10 bounces"
20140602,15,12,15,12,36,18,12,"male",">=10 bounces"
20140606,10,8,11,7,963,31,48.1,"male","<10 bounces"
20140611,18,15,21,12,3005,39,166.888888888889,"male",">=10 bounces"
20140617,16,15,16,13,1787,22,297.833333333333,"male",">=10 bounces"
20140618,11,10,12,6,608,20,76,"male","<10 bounces"
20140619,14,14,14,8,1558,22,194.75,"male","<10 bounces"
20140620,10,9,13,9,1199,21,150,"male","<10 bounces"
20140623,10,8,10,7,1392,15,278,"female","<10 bounces"
20140623,21,18,23,16,5247,110,60.2988505747126,"male",">=10 bounces"
20140624,12,11,12,7,492,22,49.2,"male","<10 bounces"
20140625,15,13,17,13,4810,40,209,"male",">=10 bounces"
20140626,15,14,18,11,3226,41,140.260869565217,"male",">=10 bounces"
20140627,12,11,13,7,1509,24,137.181818181818,"male","<10 bounces"
20140629,10,10,10,7,1065,25,71,"male","<10 bounces"
20140630,20,18,20,17,580,24,144.75,"female",">=10 bounces"
20140630,13,10,15,12,1923,20,384.4,"male",">=10 bounces"
20140701,10,9,11,9,104,13,52,"female","<10 bounces"
20140701,17,10,19,13,2232,30,202.909090909091,"male",">=10 bounces"
20140702,15,15,15,14,663,18,221,"female",">=10 bounces"
20140703,22,18,24,15,4039,45,192.333333333333,"male",">=10 bounces"
20140707,16,14,16,12,598,37,28.4761904761905,"male",">=10 bounces"
20140708,16,13,17,10,4207,35,233.666666666667,"female",">=10 bounces"
20140708,14,12,16,9,924,36,45.95,"male","<10 bounces"
20140709,10,9,11,9,400,13,200,"female","<10 bounces"
20140709,13,9,15,11,654,33,36.2777777777778,"male",">=10 bounces"
20140710,11,9,11,10,2500,25,178.642857142857,"female",">=10 bounces"
20140710,11,7,11,6,139,18,20,"male","<10 bounces"
20140711,13,12,14,7,3406,30,212.875,"male","<10 bounces"
20140715,11,8,11,7,745,21,74.4,"male","<10 bounces"
20140717,11,10,14,11,150,18,37.5,"female",">=10 bounces"
20140717,13,13,13,11,691,33,34.4,"male",">=10 bounces"
20140718,12,10,14,11,4954,77,78.5714285714286,"male",">=10 bounces"
20140721,11,10,11,8,1296,31,64.8,"female","<10 bounces"
20140721,11,10,12,8,922,29,54.3529411764706,"male","<10 bounces"
20140722,14,14,15,11,762,25,76.3,"female",">=10 bounces"
20140722,13,12,17,9,3586,83,54.3939393939394,"male","<10 bounces"
20140723,11,10,14,10,961,26,80,"female",">=10 bounces"
20140723,20,18,20,15,443,34,31.5714285714286,"male",">=10 bounces"
20140725,14,11,17,13,1581,26,175.777777777778,"male",">=10 bounces"
20140728,10,8,10,7,483,15,96.6,"male","<10 bounces"
20140729,15,13,15,8,1775,27,147.833333333333,"male","<10 bounces"
20140731,11,11,11,9,1231,21,123.2,"male","<10 bounces"
20140801,11,10,11,8,635,15,158.75,"male","<10 bounces"
20140804,10,9,10,6,2122,21,192.727272727273,"male","<10 bounces"
20140805,16,11,16,9,1881,32,117.5,"male","<10 bounces"
20140808,18,17,22,14,2279,40,126.555555555556,"male",">=10 bounces"
20140812,13,8,15,7,1883,31,117.6875,"male","<10 bounces"
20140813,10,9,12,6,758,24,63.3333333333333,"male","<10 bounces"
20140814,16,12,18,14,7048,125,65.8785046728972,"male",">=10 bounces"
20140818,11,7,13,9,9809,115,96.1176470588235,"male","<10 bounces"
20140819,18,14,21,16,293,34,22.6153846153846,"male",">=10 bounces"
20140820,13,12,14,11,3909,26,325.666666666667,"female",">=10 bounces"
20140820,16,13,19,11,18964,207,100.898936170213,"male",">=10 bounces"
20140821,13,11,15,11,7532,106,82.7362637362637,"male",">=10 bounces"
20140822,14,12,17,10,6746,80,107.063492063492,"male",">=10 bounces"
20140825,12,10,15,10,2854,34,150.105263157895,"female",">=10 bounces"
20140825,17,14,19,11,7805,76,136.912280701754,"male",">=10 bounces"
20140826,13,13,13,11,1932,22,214.555555555556,"female",">=10 bounces"
20140826,17,15,18,13,875,27,97.3333333333333,"male",">=10 bounces"
20140827,10,9,11,5,3246,49,85.3421052631579,"male","<10 bounces"
20140828,15,12,18,10,6443,48,214.666666666667,"female",">=10 bounces"
20140829,11,7,13,9,7560,94,93.3827160493827,"male","<10 bounces"
20140901,10,10,10,8,256,30,12.75,"male","<10 bounces"
20140902,14,12,15,10,860,21,143.333333333333,"female",">=10 bounces"
20140902,11,11,12,8,2369,33,112.809523809524,"male","<10 bounces"
20140903,17,12,17,12,1781,23,296.833333333333,"male",">=10 bounces"
20140908,16,10,17,14,2841,29,236.75,"female",">=10 bounces"
20140908,18,17,20,13,1891,44,78.875,"male",">=10 bounces"
20140909,19,12,19,11,1381,42,60.0869565217391,"female",">=10 bounces"
20140909,14,11,14,6,2167,46,67.65625,"male","<10 bounces"
20140910,17,13,22,13,9147,73,179.294117647059,"male",">=10 bounces"
20140911,12,9,13,9,200,25,16.5833333333333,"female","<10 bounces"
20140911,13,12,16,11,7630,88,105.986111111111,"male",">=10 bounces"
20140912,20,18,21,17,6482,63,154.285714285714,"male",">=10 bounces"
20140913,11,10,11,7,367,23,30.75,"male","<10 bounces"
20140914,10,7,11,8,1966,21,196.4,"male","<10 bounces"
20140915,16,12,16,11,1111,34,61.7777777777778,"male",">=10 bounces"
20140916,13,10,15,9,2319,30,154.6,"female","<10 bounces"
20140916,18,14,24,15,6238,75,122.352941176471,"male",">=10 bounces"
20140917,10,9,10,6,519,21,47.0909090909091,"female","<10 bounces"
20140918,26,23,27,15,2755,68,67.219512195122,"male",">=10 bounces"
20140919,18,14,18,14,3274,27,363.777777777778,"male",">=10 bounces"
20140921,11,9,11,8,465,19,58,"male","<10 bounces"
20140922,26,22,33,19,4523,83,90.48,"male",">=10 bounces"
20140923,21,16,22,13,3580,52,119.333333333333,"female",">=10 bounces"
20140923,24,17,27,19,4073,61,119.852941176471,"male",">=10 bounces"
20140924,15,10,16,11,777,34,43.0555555555556,"female",">=10 bounces"
20140924,18,13,20,15,3395,41,161.666666666667,"male",">=10 bounces"
20140925,11,9,11,5,1699,19,212.375,"female","<10 bounces"
20140925,16,13,18,12,2504,37,131.789473684211,"male",">=10 bounces"
20140926,13,10,15,11,916,20,183.2,"female",">=10 bounces"
20140927,10,8,10,4,573,20,57.4,"male","<10 bounces"
20140928,11,7,11,4,1614,20,179.333333333333,"male","<10 bounces"
20140929,11,9,12,8,110,17,22.2,"male","<10 bounces"
20140930,11,10,11,9,150,15,37.5,"female","<10 bounces"
20140930,16,15,17,12,619,29,51.5833333333333,"male",">=10 bounces"
